,name,locality,latitude,longitude,cuisines,average_cost_for_two,aggregate_rating,votes,rating_text
902,Shreemaya Celebration,Rajendra Nagar,22.66956459,75.83192121,"Bakery, North Indian, South Indian, Fast Food",500,4.3,465,Very Good
903,Parag Bakery & Fast Food,Sudama Nagar,22.68636936,75.82926918,"Bakery, Fast Food",300,4.1,605,Very Good
904,Cakes N' Craft,Old Palasia,22.72448907,75.89486562,"Bakery, Desserts",350,3.9,433,Good
905,Simi's,Vijay Nagar,22.75686955,75.88945393,"Bakery, Desserts",300,4.6,440,Excellent
906,Shreemaya Celebrity,Vijay Nagar,22.75355823,75.90091065,"North Indian, South Indian, Italian, Chinese, Street Food",500,4.3,379,Very Good
907,Lucky Bakers,Sudama Nagar,22.69088899,75.8289111,"Bakery, Fast Food",250,3.9,447,Good
908,Fantasy,Old Palasia,22.7257542,75.89163624,"Italian, Fast Food",700,3.9,266,Good
909,Cakesmith's Alley,Vijay Nagar,22.76134295,75.8874017,"Bakery, Fast Food",500,4.3,376,Very Good
910,Perfect Bakery,Vijay Nagar,22.75491492,75.88806923,"Bakery, Fast Food",200,3.9,291,Good
911,LSD - Love Sugar & Dough,Vijay Nagar,22.75592563,75.89411292,"Bakery, North Indian, Italian",800,4.1,290,Very Good
912,Bake Affaire,YN Road,22.72572049,75.87740276,"Fast Food, Bakery",350,4.2,216,Very Good
913,Dev's Bakery,Bhawar Kuan,22.69080763,75.86641978,"Bakery, Fast Food",300,2.8,337,Average
914,Cakes & More,New Palasia,22.72783727,75.88501185,"Bakery, Desserts",350,4.3,253,Very Good
915,Valentine Cafe & Bakery,Bhawar Kuan,22.68992667,75.86409129,"Fast Food, Bakery",400,4,244,Very Good
916,Bakers Lounge,Sapna Sangeeta,22.69864232,75.86519435,"Bakery, Fast Food",250,3.8,168,Good
917,Cakes N' Craft,Vijay Nagar,22.75330779,75.9008741,"Bakery, Desserts",350,3.9,169,Good
918,Masters Bakery Krozzon,Vijay Nagar,22.74774235,75.89626439,"Bakery, Fast Food",850,4.6,83,Excellent
919,Indore Baking Company - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar",22.7528774,75.88345349,Bakery,1500,4.4,197,Very Good
920,Bake Well Bakery Shop,"Hotel Crown Palace, South Tukoganj",22.71956943,75.88361409,"Bakery, Fast Food",300,3.6,130,Good
921,Nafees Bakers,New Palasia,22.72524301,75.88355642,"Bakery, Fast Food",400,3.9,200,Good
922,Cake Me Away,Old Palasia,22.72055164,75.90041175,"Bakery, Fast Food",350,3.5,99,Good
923,Jain's Trupti Bakes N Beans,Ranjeet Hanuman,22.70054734,75.83714046,"Bakery, Fast Food, Chinese",300,3.6,176,Good
924,Nafees Bakery,Bombay Bazaar,22.71574228,75.85043885,"Bakery, Fast Food",150,3.4,213,Average
925,Cakes 365,Old Palasia,22.72567441,75.89266017,"Bakery, Fast Food",200,3.6,145,Good
926,The RJ's Bakery & Cake Shop,Vijay Nagar,22.75315722,75.8878788,Bakery,300,3.1,15,Average
927,The RJ's Everfresh,Vijay Nagar,22.7556854,75.88831734,Bakery,300,3.3,20,Average
928,The Baking Room,New Palasia,22.72418755,75.88265855,"Bakery, Desserts",400,3.8,77,Good
929,Baked Inn,HIG-LIG,22.73755795,75.88459879,"Bakery, Cafe",400,3.5,113,Good
930,Granny's Restaurant,Bhawar Kuan,22.66799203,75.88149011,"North Indian, Chinese, Bakery",550,3.5,145,Good
931,Peace of Cake,Sapna Sangeeta,22.69784059,75.85998382,"Bakery, Desserts",300,3.9,99,Good
932,Nafees Cakes & Grills,Old Palasia,22.72569019,75.88785768,"Fast Food, Bakery",400,4,89,Very Good
933,Cake Boutique,Vijay Nagar,22.75663272,75.88743489,"Bakery, Fast Food",250,2.8,48,Average
934,Dev's Bakery,HIG-LIG,22.73394776,75.88984787,"Bakery, Street Food",250,3,109,Average
935,Khurana's,New Palasia,22.7247578,75.8823112,"Bakery, Fast Food",300,3.3,82,Average
936,Fantasy,Sapna Sangeeta,22.69907071,75.86662564,"Italian, Fast Food",700,3,77,Average
937,24 Hours Bakery Shop,Vijay Nagar,22.753371,75.904783,"Bakery, Desserts",150,3.7,71,Good
938,Baker's Lounge,YN Road,22.72940667,75.87447513,"Bakery, Fast Food",350,3,78,Average
939,Cake's Valley,Navlakha,22.69257913,75.89969829,"Bakery, Fast Food",300,3.5,58,Good
940,Dev's Bakery,Geeta Bhavan,22.71855846,75.88664196,Bakery,300,3.3,61,Average
941,Dev's Bakery,Khajrana,22.71990158,75.91088478,"Bakery, Fast Food",300,3.4,62,Average
942,Bombay Bakery,Chhavani,22.70956479,75.87840758,"Bakery, Street Food",100,3.5,68,Good
943,The Cake Story,Old Palasia,22.72789974,75.89364823,"Desserts, Bakery",450,3.8,52,Good
944,Occasion - Hotel Amar Vilas,"Hotel Amar Vilas, Press Complex",22.741707,75.8927564,Bakery,500,3.4,42,Average
945,420 Bites,New Palasia,22.72527858,75.88351987,"Bakery, Desserts, Fast Food, South Indian, Chinese, North Indian",350,3.4,46,Average
946,Cake Boutique,Sudama Nagar,22.69666212,75.83396304,"Bakery, Desserts",350,3.3,11,Average
947,Dev's Bakery,Bhawar Kuan,22.70058971,75.83452765,"Bakery, Fast Food",250,3.2,41,Average
948,Mini Me Bakers,Annapurna Road,22.68980418,75.8430507,Bakery,300,3.2,6,Average
949,Bakery Bites,Khajrana,22.71243553,75.90625595,Bakery,350,3.3,17,Average
950,Cake Makers,Old Palasia,22.72291405,75.90225309,"Bakery, Desserts",350,3.2,7,Average
951,Kerala Sweets Bakery,By Pass Road (North),22.70498361,75.9137762,"Bakery, Fast Food",150,3.8,34,Good
952,Sweet Little Bakery,Khajrana,22.73045127,75.89882959,Desserts,350,3.4,18,Average
953,Cakes N' Craft,Annapurna Road,22.69510255,75.83604444,"Bakery, Desserts",350,3.5,24,Good
954,Little Chicago,Sapna Sangeeta,22.70377086,75.87072741,"Bakery, Desserts",400,3.5,25,Good
955,Puff N Plum Bakery,Manik Bagh Road,22.69982604,75.85548744,"Bakery, Street Food",200,3.1,27,Average
956,Ajanta Bakery,Manik Bagh Road,22.71296965,75.85624751,"Bakery, Fast Food",200,3.2,28,Average
957,Monica Bakers & Fast Food,Sudama Nagar,22.69246499,75.83086912,"Bakery, Fast Food",350,3.2,24,Average
958,Cake Central By Cakesmith's Alley,Khajrana,22.7300038,75.89780834,"Bakery, Fast Food",350,3.1,7,Average
959,Red Maple Bakery,HIG-LIG,22.736075,75.90035,Bakery,200,3.3,8,Average
960,Maan Bakery,Old Palasia,22.72055164,75.90041175,"Bakery, Fast Food",250,3.3,21,Average
961,Suffa Restaurant,Khajrana,22.73166131,75.91283474,"North Indian, Bakery",500,3.1,25,Average
962,Cakes N' Craft,Bhawar Kuan,22.6967447,75.86553834,"Bakery, Desserts",350,3.3,20,Average
963,Bittu's Bakes,Manik Bagh Road,22.69947869,75.86686738,"Bakery, Desserts",300,3.2,13,Average
965,Pastry Pop Bakers,MR 10 Road,22.75506147,75.87443255,Bakery,200,3,18,Average
966,King of Cakes,Vijay Nagar,22.75680709,75.91204181,"Bakery, Desserts",150,3.2,10,Average
967,Cakes 365,Khajrana,22.71989447,75.91089047,"Bakery, Fast Food",200,3.3,21,Average
968,Cake's Valley,By Pass Road (North),22.69728569,75.92545655,"Bakery, Fast Food",300,2.7,10,Average
969,Red Maple Bakery,Vijay Nagar,22.75333438,75.90501845,"Bakery, Desserts",300,2.9,5,Average
970,Pastry Parlor,YN Road,22.72095059,75.87418411,"Bakery, Fast Food",250,2.9,8,Average
971,Cakes 365,By Pass Road (North),22.70425398,75.91303356,"Bakery, Fast Food",250,3.2,13,Average
972,Hot And chill,Vijay Nagar,22.75604281,75.88832036,"Bakery, Fast Food",450,3,12,Average
973,Jain's Trupti Bakes N Beans,Old Palasia,22.72251016,75.89489914,"Bakery, Fast Food, Chinese",300,3.2,9,Average
975,My Choice Cafe & Bakery,Sapna Sangeeta,22.700372,75.858179,"Bakery, Fast Food",200,3.3,10,Average
977,Happy Oven Bakery,Bhawar Kuan,22.69539517,75.86623941,Bakery,350,3.3,8,Average
978,Papa Bakery,By Pass Road (North),22.70489824,75.90644371,Bakery,150,3.1,14,Average
979,Eat A Treat,Old Palasia,22.71959881,75.90073429,Bakery,300,3.3,7,Average
980,CM9 Bakery,Manik Bagh Road,22.69814805,75.85849319,"Bakery, Desserts",250,3.2,11,Average
981,Cake Me Up - Hotel WOW,"Hotel Wow, Vijay Nagar",22.749173,75.89534339,Bakery,500,3.3,14,Average
982,Cakes N Craft,Khajrana,22.70812754,75.90612285,"Bakery, Desserts",350,2.9,5,Average
983,Suffa Restaurant,New Palasia,22.72543351,75.88427424,"North Indian, Bakery",500,2.9,12,Average
984,Shree Krishna Cakes,HIG-LIG,22.73940831,75.8806137,"Bakery, Street Food",400,3,6,Average
985,KND Bakery,HIG-LIG,22.74388414,75.87123469,"Bakery, Chinese",300,3.2,11,Average
988,"Whisk ""N"" Spatula",Annapurna Road,22.69798782,75.83305176,"Cafe, Bakery",400,2.9,5,Average
990,The Jain's Cakery,Ranjeet Hanuman,22.70384571,75.83090968,Bakery,250,3,5,Average
991,Baker Street,"Devi Ahilya Bai Holkar Airport, Airport Road",22.73027439,75.80905404,"Bakery, Tea, Coffee",500,3,4,Average
993,Babu Bakery and Dudh Dairy,Rau,22.636112,75.808365,"Bakery, Desserts",100,3,4,Average
994,Shrinath,Ranjeet Hanuman,22.69868934,75.83739828,Bakery,300,3,4,Average
995,Baker Street,"Devi Ahilya Bai Holkar Airport, Airport Road",22.730275,75.8090822,"Bakery, Tea, Coffee",500,2.9,4,Average
1000,Apna Sweets,Vijay Nagar,22.74956011,75.89528974,"Mithai, North Indian, South Indian, Beverages",400,4.3,2619,Very Good
1001,Apna Sweets,Sapna Sangeeta,22.69974624,75.86668465,"Mithai, North Indian, South Indian, Beverages",400,4,1849,Very Good
1002,Madhuram Sweets,"56 Dukan, New Palasia",22.72408302,75.88479862,"Chinese, Mithai",300,4,659,Very Good
1003,Apna Sweets,Old Palasia,22.72568153,75.89197587,"Mithai, North Indian, South Indian, Beverages",400,4.2,1543,Very Good
1004,Rasgulla House,Geeta Bhavan,22.7185767,75.88595599,Mithai,100,4.3,829,Very Good
1005,Apna Sweets,Annapurna Road,22.68848891,75.8368082,"Mithai, North Indian, South Indian, Beverages",400,3.8,1444,Good
1006,"Raja Ram - Dhaba, Sweets & Namkeen",Vijay Nagar,22.77285,75.902185,"North Indian, Mithai, Street Food",200,4.1,457,Very Good
1007,Vijay Chaat House,"56 Dukan, New Palasia",22.72373604,75.88471279,Street Food,100,4.8,598,Excellent
1008,Madhur Zayka Sweets n Cafe,Annapurna Road,22.69201183,75.83823714,"North Indian, South Indian, Fast Food, Mithai",500,3.8,619,Good
1009,Apna Sweets,Bombay Bazaar,22.71541291,75.84599275,"Mithai, North Indian, South Indian, Beverages",400,3.2,1028,Average
1010,Apna Sweets,Rau,22.61177535,75.79754066,"Mithai, North Indian, South Indian, Beverages",400,2.4,336,Poor
1011,Laxmi Narayan Doodhwala,Old Palasia,22.72571152,75.89466579,"Mithai, Fast Food",200,4.2,225,Very Good
1012,Mishri Sweets,Old Palasia,22.72571369,75.8916929,Mithai,250,4,322,Very Good
1013,Gujrat Sweets,Sapna Sangeeta,22.69840292,75.86517356,"Mithai, Street Food",250,3.8,309,Good
1014,Agrawal Sweets,Sapna Sangeeta,22.69843539,75.86520005,Mithai,250,3.8,278,Good
